date,id,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId
2019-11-20 04:49:06+00:00,1197013979106820099,Lectura obligatoria si te interesa comprender mejor lo que se está jugando en la arena política. #ChileDespertó #NuevaConstitucion #ConvencionConstituyente #ConvencionConstitucional #ProcesoConstituyente,0,0,0,0,es,,"['ChileDespertó', 'NuevaConstitucion', 'ConvencionConstituyente', 'ConvencionConstitucional', 'ProcesoConstituyente']",,76733647,quiquecalderon,"Sansano, profe, Xennial, cinéfilo, comiquero e irreductible",2009-09-23 19:37:24+00:00,1634,Chile,False,None
2019-11-20 04:27:55+00:00,1197008646250610688,"@pfcarvajalt @oscar_arqueros @danieljadue @camila_vallejo @gblumel ES MENTIRA que Convención Constitucional es igual a Asamblea Constituyente.
La Asamblea implica CIUDADANÍA DE-LI-BE-RAN-DO y nunca deben haber ""parlamentarios"" ni ""exparlamentarios""porque debe regular -entre otros- al Poder Legislativo.",0,1,1,0,es,,,"[User(username='pfcarvajalt', id=107518268, displayname='Patricio F. Carvajal', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='danieljadue', id=146542753, displayname='Daniel Jadue', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='camila_vallejo', id=225445834, displayname='Camila Vallejo Dowling', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GBlumel', id=1291431880135507968, displayname='Gomero Blumel', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",940482990,dedilu08,Creo en la construcción de un mundo mejor.,2012-11-11 03:47:17+00:00,75,,False,1197005301435813888
2019-11-20 04:20:50+00:00,1197006863788859392,"La Asamblea Constituyente, la Convención Constitucional o la Convención Mixta Constitucional, no son constitucionales. Es una falsedad. Son órganos inexistentes, no regulados, inventados para soslayar la legalidad y sometidos a reglas que alguien, que no es autoridad, inventará.",0,0,0,0,es,,,,247547449,FelipeVialClaro,,2011-02-05 01:22:29+00:00,361,,False,None
2019-11-20 04:18:08+00:00,1197006184408064006,"La Asamblea Constituyente, la Convención Constitucional o la Convención Mixta Constitucional, son órganos inventados, no existen, no están previstos en la Constitución del Estado no en ley alguna. Son inventos antojadizos y arbitrarios al margen del ordenamiento jurídico.",0,0,0,0,es,,,,247547449,FelipeVialClaro,,2011-02-05 01:22:29+00:00,361,,False,None
2019-11-20 04:10:21+00:00,1197004226037256192,"@GarinDiputado MAS UNIDOS!
no podemos seguir haciéndonos ls impolutos automarginándonos. Por esa orgullosa intachabilidad salió #Piñera. Apoyo a @gabrielboric, los incendios se apagan, no se mantienen pa ""cotizar"" soluciones
Y se consiguió #plebiscito #AprobarNC #ConvenciónConstitucional (=AC)",0,0,0,0,es,,"['Piñera', 'plebiscito', 'AprobarNC', 'ConvenciónConstitucional']","[User(username='GarinDiputado', id=1348772005181599745, displayname='no soy garin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GabrielBoric', id=73981088, displayname='Gabriel Boric Font', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",321806552,OsvaldoBastidas,"#Apruebo
#NoMasAFP
MAS CIUDADANOS! - consumidores
Admiro y respeto valor de inmigrantes indocumentados
si le gustó RT, porfa",2011-06-22 04:50:53+00:00,1986,,False,1196876659024187396
2019-11-20 04:09:33+00:00,1197004024194719749,"Asamblea Constitucional = Convención Constitucional. 

100% personas elegidas democráticamente. 

Abril 2020

#NuevaConstitución https://t.co/ELDuBwsXtZ",0,0,1,0,es,,['NuevaConstitución'],,131309645,imarinabuin,"Ingeniero, Magister en Innovación ( @fiudec ) 📚 Comprometido con mi Región 🏞 Emprendedor 🤓Amante de la Naturaleza💦🌿 Ñublensino ❤️#CuidemosLoNuestro",2010-04-09 22:25:50+00:00,671,"Chillan, Chile",False,None
2019-11-20 03:59:29+00:00,1197001490700939268,"@PamJiles Concentrémonos en verdadero adversario,no demos espectáculo,batallas que vienen exigen unidad: acusación constitucional contra Piñera,ganar X paliza el plebiscito con convención constitucional,asegurar representatividad con paridad d género,pueblos originarios,independientes etc",0,1,3,0,es,"Place(id='019f2f4e187ace41', fullName='Ñuñoa, Chile', name='Ñuñoa', type='city', country='Chile', countryCode='CL')",,"[User(username='PamJiles', id=1381789998, displayname='#PamelaJilesDiputada', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",4198141247,concha_lilia,"D izquierda,Magíster EducPUC,hija d Marcelo,nieta d Alfonso,sobrina d Iván y Cristina Desaparecidos en dictadura.Mamá d 3 hijos preciosos.Directora CPEIP.",2015-11-16 01:11:58+00:00,6555,"Ñuñoa, Chile",False,1196985901714423808
2019-11-20 03:45:55+00:00,1196998078584279040,"La alcaldesa de Lampa, Graciela Ortúzar: “Vamos a apoyar lo que diga la mayoría de la gente, pero yo me quedo con la convención constitucional mixta”. #CabildoAlcaldesNCN  @TVN",3,0,0,2,es,,['CabildoAlcaldesNCN'],"[User(username='TVN', id=106502630, displayname='TVN', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",988918747690872833,NCNTVN,Late de @tvn con @CrisSanchezTV 😍 De domingo a jueves ⏱️Cerca de la medianoche 🌙,2018-04-24 23:12:57+00:00,7110,,False,None
2019-11-20 03:40:51+00:00,1196996802572161024,@Siouxie38942870 @MaJesusSchneide @gabrielboric @JorgeSharp Exacto!!!por eso cuidado!!con la convención constitucional que le llaman,0,0,0,0,es,"Place(id='019f2f4e187ace41', fullName='Ñuñoa, Chile', name='Ñuñoa', type='city', country='Chile', countryCode='CL')",,"[User(username='MaJesusSchneide', id=1192486612879466496, displayname='María Jesús Schneider🌳🌳🌳🌳🌳', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GabrielBoric', id=73981088, displayname='Gabriel Boric Font', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JorgeSharp', id=68917670, displayname='Jorge Sharp', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1100221825953484802,belgicaw11,empatica,2019-02-26 02:31:39+00:00,22,,False,1195530911095361536
2019-11-20 03:29:08+00:00,1196993852047003648,"Que Jacqueline Van Rysselberghe, José Kast y CamilaFlores, voten ""NO"" al cambio de Constitución, debe ser la primera pista para hacer los contrario y votar que ""Si"" a la #NuevaConstitucion
#DemandasSocialesM
#asambleaconstituyente
#convencionconstitucional",1,0,1,0,es,,"['NuevaConstitucion', 'DemandasSocialesM', 'asambleaconstituyente', 'convencionconstitucional']",,1623185869,Anndrea_CamposV,Yo.,2013-07-26 15:03:32+00:00,310,,False,None
