,date_day,Convencion_Constitucional,Convencion_Constituyente,Nueva_Constitucion,Proceso_Constituyente
0,2019-01-01,,,,
1,2019-01-02,,,,
2,2019-01-03,,,,
3,2019-01-04,,,,
4,2019-01-05,,,,
5,2019-01-06,,,,
6,2019-01-07,,,,
7,2019-01-08,,,,
8,2019-01-09,,,,
9,2019-01-10,,,,
10,2019-01-11,,,,
11,2019-01-12,,,,
12,2019-01-13,,,,
13,2019-01-14,,,,
14,2019-01-15,,,,
15,2019-01-16,,,,
16,2019-01-17,,,,
17,2019-01-18,,,,
18,2019-01-19,,,,
19,2019-01-20,,,,
20,2019-01-21,,,,
21,2019-01-22,,,,
22,2019-01-23,,,,
23,2019-01-24,,,,
24,2019-01-25,,,,
25,2019-01-26,,,,
26,2019-01-27,,,,
27,2019-01-28,,,,
28,2019-01-29,,,,
29,2019-01-30,,,,
30,2019-01-31,,,,
31,2019-02-01,,,,
32,2019-02-02,,,,
33,2019-02-03,,,,
34,2019-02-04,,,,
35,2019-02-05,,,,
36,2019-02-06,,,,
37,2019-02-07,,,,
38,2019-02-08,,,,
39,2019-02-09,,,,
40,2019-02-10,,,,
41,2019-02-11,,,,
42,2019-02-12,,,,
43,2019-02-13,,,,
44,2019-02-14,,,,
45,2019-02-15,,,,
46,2019-02-16,,,,
47,2019-02-17,,,,
48,2019-02-18,,,,
49,2019-02-19,,,,
50,2019-02-20,,,,
51,2019-02-21,,,,
52,2019-02-22,,,,
53,2019-02-23,,,,
54,2019-02-24,,,,
55,2019-02-25,,,,
56,2019-02-26,,,,
57,2019-02-27,,,,
58,2019-02-28,,,,
59,2019-03-01,,,,
60,2019-03-02,,,,
61,2019-03-03,,,,
62,2019-03-04,,,,
63,2019-03-05,,,,
64,2019-03-06,,,,
65,2019-03-07,,,,
66,2019-03-08,,,,
67,2019-03-09,,,,
68,2019-03-10,,,,
69,2019-03-11,,,,
70,2019-03-12,,,,
71,2019-03-13,,,,
72,2019-03-14,,,,
73,2019-03-15,,,,
74,2019-03-16,,,,
75,2019-03-17,,,,
76,2019-03-18,,,,
77,2019-03-19,,,,
78,2019-03-20,,,,
79,2019-03-21,,,,
80,2019-03-22,,,,
81,2019-03-23,,,,
82,2019-03-24,,,,
83,2019-03-25,,,,
84,2019-03-26,,,,
85,2019-03-27,,,,
86,2019-03-28,,,,
87,2019-03-29,,,,
88,2019-03-30,,,,
89,2019-03-31,,,,
90,2019-04-01,,,,
91,2019-04-02,,,,
92,2019-04-03,,,,
93,2019-04-04,,,,
94,2019-04-05,,,,
95,2019-04-06,,,,
96,2019-04-07,,,,
97,2019-04-08,,,,
98,2019-04-09,,,,
99,2019-04-10,,,,
100,2019-04-11,,,,
101,2019-04-12,,,,
102,2019-04-13,,,,
103,2019-04-14,,,,
104,2019-04-15,,,,
105,2019-04-16,,,,
106,2019-04-17,,,,
107,2019-04-18,,,,
108,2019-04-19,,,,
109,2019-04-20,,,,
110,2019-04-21,,,,
111,2019-04-22,,,,
112,2019-04-23,,,,
113,2019-04-24,,,,
114,2019-04-25,,,,
115,2019-04-26,,,,
116,2019-04-27,,,,
117,2019-04-28,,,,
118,2019-04-29,,,,
119,2019-04-30,,,,
120,2019-05-01,,,,
121,2019-05-02,,,,
122,2019-05-03,,,,
123,2019-05-04,,,,
124,2019-05-05,,,,
125,2019-05-06,,,,
126,2019-05-07,,,,
127,2019-05-08,,,,
128,2019-05-09,,,,
129,2019-05-10,,,,
130,2019-05-11,,,,
131,2019-05-12,,,,
132,2019-05-13,,,,
133,2019-05-14,,,,
134,2019-05-15,,,,
135,2019-05-16,,,,
136,2019-05-17,,,,
137,2019-05-18,,,,
138,2019-05-19,,,,
139,2019-05-20,,,,
140,2019-05-21,,,,
141,2019-05-22,,,,
142,2019-05-23,,,,
143,2019-05-24,,,,
144,2019-05-25,,,,
145,2019-05-26,,,,
146,2019-05-27,,,,
147,2019-05-28,,,,
148,2019-05-29,,,,
149,2019-05-30,,,,
150,2019-05-31,,,,
151,2019-06-01,,,,
152,2019-06-02,,,,
153,2019-06-03,,,,
154,2019-06-04,,,,
155,2019-06-05,,,,
156,2019-06-06,,,,
157,2019-06-07,,,,
158,2019-06-08,,,,
159,2019-06-09,,,,
160,2019-06-10,,,,
161,2019-06-11,,,,
162,2019-06-12,,,,
163,2019-06-13,,,,
164,2019-06-14,,,,
165,2019-06-15,,,,
166,2019-06-16,,,,
167,2019-06-17,,,,
168,2019-06-18,,,,
169,2019-06-19,,,,
170,2019-06-20,,,,
171,2019-06-21,,,,
172,2019-06-22,,,,
173,2019-06-23,,,,
174,2019-06-24,,,,
175,2019-06-25,,,,
176,2019-06-26,,,,
177,2019-06-27,,,,
178,2019-06-28,,,,
179,2019-06-29,,,,
180,2019-06-30,,,,
181,2019-07-01,,1.0,61.0,15.0
182,2019-07-02,,,43.0,9.0
183,2019-07-03,,,31.0,11.0
184,2019-07-04,1.0,7.0,116.0,10.0
185,2019-07-05,,2.0,82.0,12.0
186,2019-07-06,,,48.0,2.0
187,2019-07-07,,2.0,53.0,5.0
188,2019-07-08,,,41.0,7.0
189,2019-07-09,,,48.0,6.0
190,2019-07-10,,1.0,50.0,11.0
191,2019-07-11,,,38.0,17.0
192,2019-07-12,,,69.0,6.0
193,2019-07-13,,,70.0,10.0
194,2019-07-14,,2.0,57.0,4.0
195,2019-07-15,,,47.0,7.0
196,2019-07-16,,,48.0,2.0
197,2019-07-17,,2.0,64.0,16.0
198,2019-07-18,,1.0,56.0,9.0
199,2019-07-19,,3.0,73.0,6.0
200,2019-07-20,,8.0,51.0,8.0
201,2019-07-21,,4.0,63.0,10.0
202,2019-07-22,1.0,3.0,61.0,10.0
203,2019-07-23,,1.0,53.0,12.0
204,2019-07-24,,1.0,54.0,10.0
205,2019-07-25,,4.0,79.0,13.0
206,2019-07-26,,3.0,52.0,5.0
207,2019-07-27,1.0,1.0,28.0,2.0
208,2019-07-28,,3.0,80.0,7.0
209,2019-07-29,,1.0,89.0,7.0
210,2019-07-30,,,145.0,13.0
211,2019-07-31,,5.0,130.0,19.0
212,2019-08-01,,3.0,135.0,11.0
213,2019-08-02,,8.0,87.0,5.0
214,2019-08-03,,3.0,69.0,6.0
215,2019-08-04,,,59.0,8.0
216,2019-08-05,2.0,2.0,81.0,10.0
217,2019-08-06,,2.0,106.0,10.0
218,2019-08-07,1.0,1.0,66.0,8.0
219,2019-08-08,,2.0,58.0,5.0
220,2019-08-09,,,56.0,8.0
221,2019-08-10,,1.0,60.0,9.0
222,2019-08-11,,,51.0,11.0
223,2019-08-12,1.0,4.0,110.0,11.0
224,2019-08-13,1.0,1.0,87.0,5.0
225,2019-08-14,,5.0,94.0,8.0
226,2019-08-15,,2.0,65.0,3.0
227,2019-08-16,,1.0,70.0,16.0
228,2019-08-17,,,52.0,8.0
229,2019-08-18,,,77.0,8.0
230,2019-08-19,,2.0,88.0,7.0
231,2019-08-20,,7.0,122.0,5.0
232,2019-08-21,,4.0,74.0,4.0
233,2019-08-22,,13.0,71.0,4.0
234,2019-08-23,,8.0,59.0,1.0
235,2019-08-24,,18.0,44.0,2.0
236,2019-08-25,1.0,4.0,50.0,6.0
237,2019-08-26,,1.0,74.0,11.0
238,2019-08-27,,2.0,62.0,14.0
239,2019-08-28,6.0,2.0,54.0,8.0
240,2019-08-29,,1.0,59.0,10.0
241,2019-08-30,,,48.0,6.0
242,2019-08-31,,1.0,40.0,11.0
243,2019-09-01,1.0,1.0,50.0,11.0
244,2019-09-02,,,70.0,8.0
245,2019-09-03,,3.0,88.0,13.0
246,2019-09-04,,1.0,113.0,4.0
247,2019-09-05,,3.0,166.0,7.0
248,2019-09-06,,4.0,68.0,9.0
249,2019-09-07,,,67.0,4.0
250,2019-09-08,,,108.0,5.0
251,2019-09-09,,2.0,98.0,10.0
252,2019-09-10,,,113.0,5.0
253,2019-09-11,,1.0,158.0,17.0
254,2019-09-12,1.0,1.0,137.0,12.0
255,2019-09-13,,1.0,98.0,9.0
256,2019-09-14,,1.0,53.0,19.0
257,2019-09-15,,1.0,284.0,11.0
258,2019-09-16,,1.0,118.0,17.0
259,2019-09-17,3.0,2.0,102.0,22.0
260,2019-09-18,1.0,2.0,73.0,15.0
261,2019-09-19,1.0,1.0,106.0,7.0
262,2019-09-20,1.0,3.0,100.0,7.0
263,2019-09-21,,2.0,44.0,9.0
264,2019-09-22,,,58.0,8.0
265,2019-09-23,,3.0,88.0,7.0
266,2019-09-24,,,95.0,5.0
267,2019-09-25,,1.0,90.0,19.0
268,2019-09-26,,,119.0,23.0
269,2019-09-27,,2.0,110.0,25.0
270,2019-09-28,,1.0,81.0,4.0
271,2019-09-29,,1.0,65.0,7.0
272,2019-09-30,,,,
273,2019-10-01,,2.0,,13.0
274,2019-10-02,,5.0,,12.0
275,2019-10-03,1.0,5.0,,12.0
276,2019-10-04,,1.0,,16.0
277,2019-10-05,,1.0,,11.0
278,2019-10-06,,1.0,,5.0
279,2019-10-07,1.0,4.0,,20.0
280,2019-10-08,,4.0,,7.0
281,2019-10-09,3.0,1.0,,16.0
282,2019-10-10,,1.0,,11.0
283,2019-10-11,1.0,1.0,,9.0
284,2019-10-12,,1.0,,10.0
285,2019-10-13,1.0,3.0,,12.0
286,2019-10-14,1.0,1.0,,31.0
287,2019-10-15,,1.0,,16.0
288,2019-10-16,1.0,5.0,,19.0
289,2019-10-17,,1.0,,13.0
290,2019-10-18,,1.0,,29.0
291,2019-10-19,,1.0,,41.0
292,2019-10-20,,,,62.0
293,2019-10-21,,,,45.0
294,2019-10-22,,1.0,,78.0
295,2019-10-23,,3.0,,86.0
296,2019-10-24,1.0,2.0,,85.0
297,2019-10-25,,3.0,,76.0
298,2019-10-26,1.0,2.0,,220.0
299,2019-10-27,,6.0,,217.0
300,2019-10-28,7.0,4.0,,234.0
301,2019-10-29,5.0,7.0,,273.0
302,2019-10-30,6.0,9.0,,373.0
303,2019-10-31,4.0,12.0,,278.0
304,2019-11-01,1.0,6.0,,210.0
305,2019-11-02,,,,147.0
306,2019-11-03,2.0,22.0,,195.0
307,2019-11-04,,14.0,,175.0
308,2019-11-05,4.0,10.0,,222.0
309,2019-11-06,1.0,6.0,,130.0
310,2019-11-07,,4.0,,177.0
311,2019-11-08,,13.0,,140.0
312,2019-11-09,1.0,10.0,,186.0
313,2019-11-10,,11.0,,174.0
314,2019-11-11,34.0,138.0,,722.0
315,2019-11-12,16.0,127.0,,360.0
316,2019-11-13,74.0,239.0,,415.0
317,2019-11-14,65.0,1049.0,,383.0
318,2019-11-15,1177.0,2215.0,,961.0
319,2019-11-16,218.0,609.0,48.0,439.0
320,2019-11-17,268.0,653.0,6021.0,373.0
321,2019-11-18,267.0,1159.0,6471.0,449.0
322,2019-11-19,87.0,416.0,3941.0,344.0
323,2019-11-20,51.0,260.0,3447.0,354.0
324,2019-11-21,29.0,156.0,2303.0,277.0
325,2019-11-22,40.0,110.0,2007.0,300.0
326,2019-11-23,18.0,82.0,1349.0,285.0
327,2019-11-24,25.0,120.0,1893.0,256.0
328,2019-11-25,25.0,92.0,2123.0,319.0
329,2019-11-26,16.0,109.0,1568.0,299.0
330,2019-11-27,23.0,68.0,1692.0,332.0
331,2019-11-28,25.0,62.0,1444.0,254.0
332,2019-11-29,15.0,68.0,1074.0,222.0
333,2019-11-30,13.0,81.0,819.0,125.0
334,2019-12-01,16.0,79.0,848.0,156.0
335,2019-12-02,25.0,79.0,1091.0,337.0
336,2019-12-03,13.0,77.0,1261.0,363.0
337,2019-12-04,22.0,60.0,1997.0,388.0
338,2019-12-05,14.0,78.0,1597.0,319.0
339,2019-12-06,38.0,108.0,1569.0,657.0
340,2019-12-07,28.0,63.0,1512.0,386.0
341,2019-12-08,26.0,64.0,1602.0,399.0
342,2019-12-09,21.0,74.0,1512.0,454.0
343,2019-12-10,20.0,53.0,1264.0,334.0
344,2019-12-11,35.0,56.0,1403.0,375.0
345,2019-12-12,21.0,43.0,1705.0,315.0
346,2019-12-13,25.0,58.0,1620.0,338.0
347,2019-12-14,35.0,54.0,1921.0,352.0
348,2019-12-15,149.0,193.0,3921.0,446.0
349,2019-12-16,283.0,508.0,5339.0,548.0
350,2019-12-17,256.0,613.0,2841.0,627.0
351,2019-12-18,124.0,461.0,4414.0,1392.0
352,2019-12-19,103.0,250.0,3494.0,1204.0
353,2019-12-20,42.0,205.0,2999.0,866.0
354,2019-12-21,14.0,71.0,1558.0,271.0
355,2019-12-22,9.0,45.0,1143.0,175.0
356,2019-12-23,58.0,155.0,3245.0,649.0
357,2019-12-24,42.0,98.0,3162.0,364.0
358,2019-12-25,27.0,29.0,1364.0,137.0
359,2019-12-26,19.0,50.0,1717.0,209.0
360,2019-12-27,20.0,47.0,1847.0,264.0
361,2019-12-28,12.0,49.0,1686.0,201.0
362,2019-12-29,27.0,71.0,1978.0,216.0
363,2019-12-30,105.0,364.0,2186.0,238.0
364,2019-12-31,86.0,385.0,2293.0,161.0
365,2020-01-01,64.0,132.0,1584.0,66.0
366,2020-01-02,170.0,214.0,1985.0,178.0
367,2020-01-03,469.0,268.0,2855.0,218.0
368,2020-01-04,272.0,125.0,2216.0,202.0
369,2020-01-05,102.0,102.0,1831.0,199.0
370,2020-01-06,68.0,118.0,2586.0,482.0
371,2020-01-07,50.0,119.0,3564.0,738.0
372,2020-01-08,132.0,178.0,4266.0,617.0
373,2020-01-09,94.0,115.0,3239.0,442.0
374,2020-01-10,174.0,108.0,3136.0,354.0
375,2020-01-11,104.0,89.0,2343.0,250.0
376,2020-01-12,174.0,110.0,2703.0,353.0
377,2020-01-13,562.0,189.0,3475.0,344.0
378,2020-01-14,414.0,121.0,2688.0,305.0
379,2020-01-15,193.0,106.0,2289.0,415.0
380,2020-01-16,155.0,178.0,2224.0,360.0
381,2020-01-17,195.0,138.0,1955.0,254.0
382,2020-01-18,234.0,83.0,2113.0,228.0
383,2020-01-19,134.0,113.0,2092.0,247.0
384,2020-01-20,172.0,119.0,2339.0,386.0
385,2020-01-21,206.0,187.0,2300.0,469.0
386,2020-01-22,163.0,165.0,2096.0,550.0
387,2020-01-23,127.0,114.0,1826.0,270.0
388,2020-01-24,88.0,71.0,1828.0,206.0
389,2020-01-25,92.0,68.0,1662.0,183.0
390,2020-01-26,107.0,118.0,1969.0,251.0
391,2020-01-27,124.0,175.0,2400.0,417.0
392,2020-01-28,124.0,154.0,2316.0,329.0
393,2020-01-29,119.0,132.0,1799.0,265.0
394,2020-01-30,121.0,81.0,1654.0,256.0
395,2020-01-31,134.0,96.0,1884.0,215.0
396,2020-02-01,132.0,91.0,1765.0,171.0
397,2020-02-02,330.0,161.0,2182.0,179.0
398,2020-02-03,293.0,251.0,2241.0,274.0
399,2020-02-04,531.0,495.0,1997.0,218.0
400,2020-02-05,344.0,328.0,1859.0,202.0
401,2020-02-06,306.0,253.0,1494.0,180.0
402,2020-02-07,200.0,214.0,1189.0,137.0
403,2020-02-08,198.0,180.0,1268.0,108.0
404,2020-02-09,174.0,199.0,1519.0,126.0
405,2020-02-10,171.0,145.0,1624.0,104.0
406,2020-02-11,195.0,165.0,1910.0,143.0
407,2020-02-12,301.0,193.0,2367.0,182.0
408,2020-02-13,294.0,290.0,2425.0,214.0
409,2020-02-14,230.0,165.0,1576.0,191.0
410,2020-02-15,194.0,118.0,1437.0,93.0
411,2020-02-16,172.0,120.0,1615.0,89.0
412,2020-02-17,220.0,125.0,1620.0,213.0
413,2020-02-18,293.0,162.0,1498.0,154.0
414,2020-02-19,346.0,172.0,1777.0,157.0
415,2020-02-20,297.0,184.0,1532.0,172.0
416,2020-02-21,314.0,116.0,1513.0,166.0
417,2020-02-22,233.0,149.0,1601.0,169.0
418,2020-02-23,307.0,179.0,1825.0,183.0
419,2020-02-24,310.0,163.0,2203.0,161.0
420,2020-02-25,387.0,256.0,1556.0,114.0
421,2020-02-26,2517.0,570.0,4033.0,179.0
422,2020-02-27,1465.0,563.0,3965.0,243.0
423,2020-02-28,539.0,347.0,2326.0,210.0
424,2020-02-29,598.0,289.0,2522.0,143.0
425,2020-03-01,707.0,392.0,2422.0,197.0
426,2020-03-02,746.0,331.0,3051.0,265.0
427,2020-03-03,524.0,267.0,2500.0,242.0
428,2020-03-04,830.0,445.0,2267.0,683.0
429,2020-03-05,554.0,386.0,2097.0,449.0
430,2020-03-06,693.0,283.0,1971.0,259.0
431,2020-03-07,520.0,332.0,1918.0,170.0
432,2020-03-08,431.0,179.0,1327.0,109.0
433,2020-03-09,456.0,244.0,1474.0,172.0
434,2020-03-10,418.0,188.0,1420.0,206.0
435,2020-03-11,415.0,236.0,1906.0,258.0
436,2020-03-12,504.0,208.0,1639.0,265.0
437,2020-03-13,410.0,196.0,1598.0,203.0
438,2020-03-14,383.0,158.0,1189.0,129.0
439,2020-03-15,256.0,105.0,1109.0,86.0
440,2020-03-16,203.0,100.0,844.0,97.0
441,2020-03-17,243.0,55.0,952.0,72.0
442,2020-03-18,99.0,61.0,1084.0,101.0
443,2020-03-19,136.0,81.0,1300.0,128.0
444,2020-03-20,86.0,37.0,760.0,131.0
445,2020-03-21,44.0,25.0,480.0,83.0
446,2020-03-22,27.0,27.0,389.0,29.0
447,2020-03-23,22.0,21.0,412.0,33.0
448,2020-03-24,142.0,102.0,1092.0,244.0
449,2020-03-25,88.0,48.0,721.0,81.0
450,2020-03-26,35.0,11.0,423.0,49.0
451,2020-03-27,85.0,61.0,551.0,33.0
452,2020-03-28,29.0,34.0,492.0,30.0
453,2020-03-29,20.0,23.0,435.0,28.0
454,2020-03-30,28.0,27.0,403.0,40.0
455,2020-03-31,88.0,69.0,1033.0,47.0
456,2020-04-01,68.0,49.0,818.0,36.0
457,2020-04-02,101.0,64.0,550.0,45.0
458,2020-04-03,25.0,24.0,357.0,38.0
459,2020-04-04,29.0,17.0,391.0,33.0
460,2020-04-05,27.0,13.0,351.0,23.0
461,2020-04-06,40.0,11.0,317.0,24.0
462,2020-04-07,32.0,21.0,394.0,42.0
463,2020-04-08,41.0,22.0,394.0,42.0
464,2020-04-09,18.0,13.0,388.0,38.0
465,2020-04-10,13.0,15.0,376.0,30.0
466,2020-04-11,38.0,4.0,246.0,29.0
467,2020-04-12,20.0,8.0,297.0,26.0
468,2020-04-13,13.0,9.0,250.0,29.0
469,2020-04-14,23.0,3.0,288.0,42.0
470,2020-04-15,17.0,10.0,302.0,43.0
471,2020-04-16,29.0,20.0,357.0,28.0
472,2020-04-17,18.0,15.0,380.0,21.0
473,2020-04-18,30.0,11.0,357.0,26.0
474,2020-04-19,10.0,4.0,284.0,27.0
475,2020-04-20,19.0,9.0,348.0,25.0
476,2020-04-21,21.0,6.0,287.0,22.0
477,2020-04-22,18.0,6.0,283.0,25.0
478,2020-04-23,10.0,10.0,269.0,24.0
479,2020-04-24,25.0,20.0,311.0,28.0
480,2020-04-25,77.0,43.0,606.0,42.0
481,2020-04-26,6010.0,859.0,3826.0,121.0
482,2020-04-27,542.0,189.0,1725.0,170.0
483,2020-04-28,65.0,17.0,856.0,100.0
484,2020-04-29,47.0,16.0,668.0,113.0
485,2020-04-30,47.0,22.0,657.0,91.0
486,2020-05-01,35.0,20.0,572.0,67.0
487,2020-05-02,24.0,9.0,419.0,44.0
488,2020-05-03,20.0,15.0,507.0,30.0
489,2020-05-04,24.0,12.0,401.0,47.0
490,2020-05-05,35.0,12.0,358.0,35.0
491,2020-05-06,43.0,19.0,355.0,44.0
492,2020-05-07,35.0,17.0,423.0,36.0
493,2020-05-08,34.0,12.0,411.0,33.0
494,2020-05-09,29.0,10.0,381.0,26.0
495,2020-05-10,25.0,4.0,362.0,24.0
496,2020-05-11,25.0,13.0,320.0,31.0
497,2020-05-12,31.0,11.0,338.0,36.0
498,2020-05-13,28.0,12.0,423.0,49.0
499,2020-05-14,24.0,17.0,305.0,24.0
500,2020-05-15,12.0,5.0,275.0,20.0
501,2020-05-16,15.0,4.0,261.0,28.0
502,2020-05-17,13.0,7.0,274.0,24.0
503,2020-05-18,29.0,36.0,392.0,47.0
504,2020-05-19,16.0,12.0,384.0,35.0
505,2020-05-20,17.0,6.0,342.0,46.0
506,2020-05-21,12.0,2.0,381.0,34.0
507,2020-05-22,16.0,5.0,303.0,43.0
508,2020-05-23,12.0,4.0,296.0,32.0
509,2020-05-24,10.0,10.0,327.0,45.0
510,2020-05-25,15.0,9.0,324.0,43.0
