date,id,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId
2019-12-31 23:59:55+00:00,1212161492365303808,Seguiremos trabajando por un Chile más justo y que respete los DD.HH. ¡Pronto veremos  representadas las demandas ciudadanas 👵🧒🏻👩👨👶🏾 en una nueva Constitución! @ArayaPedro @SenadorJSoria   @lagosweber @senadorquintana @_adrianamunoz @guidogirardi @felipeharboe @ximenaordenes https://t.co/g5b0FyFnhh,0,3,6,0,es,,,"[User(username='ArayaPedro', id=153468046, displayname='Pedro Araya Guerrero', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SenadorJSoria', id=846461748450353162, displayname='Senador Jorge Soria', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='lagosweber', id=53594117, displayname='Ricardo Lagos Weber', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='senadorquintana', id=76683098, displayname='Jaime Quintana', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='guidogirardi', id=16970297, displayname='Guido Girardi', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='felipeharboe', id=19294551, displayname='Felipe Harboe B', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ximenaordenes', id=118507160, displayname='Ximena Ordenes Neira', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",916348760921378816,SenadoresPPD,"El Comité lo constituyen 6 integrantes, representantes de las regiones de Tarapacá, Antofagasta, Valparaíso, Biobío, Ñuble, Araucanía y Aysén",2017-10-06 17:05:44+00:00,2585,Chile,False,None
2019-12-31 23:55:52+00:00,1212160475288522752,"@guidogirardi Mencionas una nueva constitución como la panacea... y sabes que eso es un engaño y una estrategia política inconsecuente, la constitución necesita actualización y reforma, no creación de una nueva... NUNCA todo es absolutamente bueno o malo...",0,0,0,0,es,,,"[User(username='guidogirardi', id=16970297, displayname='Guido Girardi', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",213170639,litlecomand,"Patriota, antifanatismo, antidemagogia, incondicional de nadie, amor con amor se paga, solo por la razòn, nunca por la fuerza, antimonopolios Libre",2010-11-08 04:47:58+00:00,907,Santiago de Chile,False,1212102726374580226
2019-12-31 23:55:09+00:00,1212160294660853761,Nueva Constitución: Ciudadanos crean partido buscando presentar candidatos independientes y de pueblos originarios https://t.co/Jew5O3OgNy,0,0,0,0,es,,,,69632419,radio_tierra,,2009-08-28 16:41:58+00:00,6210,,False,None
2019-12-31 23:54:42+00:00,1212160178465820673,Nueva Constitución: Ciudadanos crean partido que será una plataforma para presentar candidatos independientes y de pueblos originarios👀una vez completada la elección el partido se disuelve  https://t.co/6kVAab5lON,2,2,9,0,es,,,,1562824950,ladiosaodiosa2,"“Toda forma de desprecio, si interviene en política, prepara o instaura al fascismo” A.Camus.Observando el mundo, el cine y la política.#YOAPROBÉ",2013-07-02 10:47:32+00:00,2055,,False,None
2019-12-31 23:54:16+00:00,1212160071322476544,"Para llevar a piñera al gobierno usaron campaña del terror Chilezuela. Esas mismas campañas d terror van a usar para demonizar Nueva Constitución. Acuérdense d este argumento: dirán que Constitución pinochetista trajo “progreso y estabilidad” a Chile, ¿progreso de quién?",1,1,3,0,es,,,,879183745017933824,crovanos,Animalista. Zurdo x convicción & principios. Profesor. Opino para hacer reflexionar. Fin al sistema neoliberal. Orgulloso del 38%,2017-06-26 03:45:14+00:00,11310,,False,None
2019-12-31 23:52:44+00:00,1212159687124275202,por más q juegues sucio el pueblo ya hablo y eligió nueva constitución y no cambiará ni aunque digan q no habrá trabajo q despedirán gente yo les daré una campaña del terror todos los q violaron los derechos humanos irán preso y se los afilaran en cana así chao kast,0,0,0,0,es,,,,1193484494478684160,Richard27497777,deportes,2019-11-10 11:04:34+00:00,27,,False,None
2019-12-31 23:52:44+00:00,1212159686344097792,"@ALERTADESISMO @PCdeChile @PDC_Chile @PSChile @elfrente_amplio @PPD_Chile y estos quieren una nueva constitución ? Y para colmo, la quieren redactar.",1,1,3,0,es,,,"[User(username='ALERTADESISMO', id=2775303329, displayname='⚠️ALERTA DE EMERGENCIA ⚠️', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PCdeChile', id=1104021420, displayname='Partido Comunista de Chile', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PDC_Chile', id=186661014, displayname='Democracia Cristiana', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PSChile', id=2916268066, displayname='Partido Socialista de Chile', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='elfrente_amplio', id=819594986832465920, displayname='Frente Amplio Chile', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PPD_Chile', id=300874121, displayname='Partido por la Democracia', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1171463375043223553,AlvarezRossel,"Patriotra y Republicano,  veterano de la guerra del 78.",2019-09-10 16:40:48+00:00,13861,,False,1212114792254787586
2019-12-31 23:51:37+00:00,1212159405241896960,"@chahuan renuncia cholguan!!
regalaste nueva constitucion al enemigo

En la Tele te vemos con la bacinica tomada a 2 manos",0,0,0,0,es,,,"[User(username='chahuan', id=41381528, displayname='Francisco Chahuán', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1209797287381274626,BienTwitero,"Bienvenidos a Chilezuela esquina Finlandia
Me sigues te sigo

ANTIOCTUBRISTA, Liberal, libertario, Minarquista
PERRERO a MUCHA HONRA !!
DOG LOVER",2019-12-25 11:25:37+00:00,29769,"Chilezuela,  Talibania",False,1212096630230540288
2019-12-31 23:51:04+00:00,1212159267777794048,"@LuisJaraFernand @hermanntertsch De nada! A Chile hasta el 17 de Octubre se lo veía cómo país ejemplo en desarrollo, crecimiento. Desde esa fecha pareciera empate con nosotros. Espero que gane el NO a la nueva Constitución. Tiene que volver el camino que tenía hasta ese 17.",1,0,1,0,es,,,"[User(username='LuisJaraFernand', id=1160683879, displayname='Angel Blanco', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='hermanntertsch', id=257332880, displayname='Hermann Tertsch', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2400945803,Leandromv1999,"Argentina. Estudiante de Relaciones Internacionales.
Soy la ultraderecha.",2014-03-11 02:00:43+00:00,5308,,False,1212156950508687361
2019-12-31 23:49:15+00:00,1212158809407401985,"1: ¿Quiere usted una nueva Constitución?
——  Apruebo
—/— Rechazo

2: ¿Qué tipo de órgano debiera redactar la nueva Constitución?
—— Convención Constituyente
—/— Convención Mixta

#EnAbrilRechazo #NoAUnaNuevaConstitucion #SiAUnaReformaConstitucional",0,1,0,0,es,,"['EnAbrilRechazo', 'NoAUnaNuevaConstitucion', 'SiAUnaReformaConstitucional']",,204965748,profesorGonzai,"No pierdas la esperanza, hasta el último momento. El partido se dará por terminado si desistes.",2010-10-19 21:32:42+00:00,943,"Santiago, Chile",False,None
