id,date,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId
1450528867475669000,2021-10-19 18:26:46+00:00,@ProvosteYasna Proceso constituyente impuesto con violencia !….,0,0,0,0,es,,,"[User(username='ProvosteYasna', id=2730306924, displayname='Yasna Provoste Campillay', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2859587091,arielrfx,,2014-11-03 22:22:46+00:00,1006,,False,1450262269779009545
1450525453370990595,2021-10-19 18:13:12+00:00,"El viernes 22 a las 17:00 horas, nos juntamos en el café Marx en Estocolmo, para empezar nuestra participación en el proceso constituyente en Chile.
Todos los chilenos están invitados a participar @lorena_dv @ElisaLoncon",0,0,0,0,es,,,"[User(username='lorena_dv', id=51364163, displayname='Lorena Delgado Varas', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ElisaLoncon', id=376516710, displayname='Elisa Loncon Antileo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1443219484471447553,cabildostockolm,Esta cuenta es para comunicar y recibir información sobre el cabildo constitucional autoconvocado para el mes de noviembre en Estocolmo,2021-09-29 14:22:35+00:00,1,,False,None
1450523969388490759,2021-10-19 18:07:18+00:00,Jaime Bassa por hechos del 18-O: “El vandalismo y el saqueo son hechos criminales que condenamos y que no forman parte de la movilización social que está empujando este proceso constituyente” https://t.co/vtVBDWI2lq https://t.co/SIyWvpj583,33,119,550,14,es,,,,12815132,elmostrador,El primer medio digital de Chile,2008-01-29 04:20:54+00:00,1955828,Chile,True,None
1450523912383705101,2021-10-19 18:07:04+00:00,"@Jose__Age @T13 No lo hace... ""El vandalismo y el saqueo son hechos criminales que, evidentemente, condenamos y que no forma parte de la movilización social que está empujando este proceso constituyente""",1,0,18,0,es,,,"[User(username='Jose__Age', id=108461513, displayname='Jose Ignacio', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='T13', id=24952459, displayname='T13', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1167822948843081733,RiquelmeHernand,"Viña del Mar / Ciencia e Ingeniería / Música / Deportes de Motor

🌌 Admirador del universo, su historia, su materia y su vida.

⚛️ Escepticismo y lógica.",2019-08-31 15:34:30+00:00,128,Viña del Mar,False,1450523136890392586
1450523740987695115,2021-10-19 18:06:23+00:00,"Es impresindible acompañar el proceso constituyente con un nuevo modelo de desarrollo, un proyecto país a mediano y largo plazo y no sólo buscar los votos de una reelección con medidas cortoplacistas",1,0,0,0,es,,,,303875657,gustavopinedaz,"Ciudadano del mundo, nacido en Temuco, padre de cuatro hijos, luchador, agente de cambio,  hippie y revolucionario. Omaticaya por opción.",2011-05-23 15:23:39+00:00,823,TEMUCO,False,None
1450521026216054787,2021-10-19 17:55:36+00:00,"@pabloeguzman @Josefcolagos No dije que lideraran las protestas, dije que instrumentalizaron la violencia. La izquierda liderada por Atria fue oportunista y aprovechó la presión de la violencia para poner al gobierno cotra la espada y la pared, obligándolos a negociar el inicio del proceso constituyente.",1,0,0,0,es,,,"[User(username='pabloeguzman', id=67251695, displayname='Pablo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Josefcolagos', id=120358242, displayname='José Francisco Lagos', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1441089879660580866,Diegoclv,,2021-09-23 17:21:11+00:00,312,,False,1450519904097079303
1450520763178438656,2021-10-19 17:54:33+00:00,"Sintieron el impacto de la revuelta, pero no creo que hayan captado del todo sus implicaciones. Siguen creyendo que es un problema administrativo, antes que histórico. Me asusta que el proceso constituyente adolezca también de esa mirada mas profunda, radical de la realidad.",0,0,0,0,es,,,,527926782,diegotherium,"Cuando todo estalle, nos contaremos historias al calor de las esquirlas.",2012-03-17 23:11:42+00:00,1304,,False,None
1450519739508215809,2021-10-19 17:50:29+00:00,"@tere_marinovic @FridaSiKahlo Atria tiene toda la razón  la violencia del 2019 abrió la puerta para el proceso constituyente
La violencia del 2021 (ayer) CERRÓ LA PUERTA, POR DENTRO, para el proceso constituyente 
Nueva constitución cuándo ?
El día del NISPERO!
Kast pdte y no hay más",1,3,3,0,es,,,"[User(username='tere_marinovic', id=302219334, displayname='Tere Marinovic Vial', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FridaSiKahlo', id=1452965868, displayname='FridaSíKahlo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1439033483578552321,Niko22218416,,2021-09-18 01:09:58+00:00,2283,,False,1450504747526410242
1450518969794928640,2021-10-19 17:47:26+00:00,"@pabloeguzman @Josefcolagos El plebiscito ocurrió gracias al acuerdo de noviembre de 2019, que no habría existido sin la violencia. La izquierda instrumentalizó esa violencia para negociar desde una posición ventajosa el inicio del proceso constituyente. Sigue siendo un origen violento.",1,0,0,0,es,,,"[User(username='pabloeguzman', id=67251695, displayname='Pablo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Josefcolagos', id=120358242, displayname='José Francisco Lagos', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1441089879660580866,Diegoclv,,2021-09-23 17:21:11+00:00,312,,False,1450246224074870790
1450518558434234372,2021-10-19 17:45:48+00:00,¿Hasta cuándo con estas caricaturas mal intencionadas? Parece que algunas/os todavía no superan haber quedado fuera del proceso constituyente.,0,0,5,0,es,,,,59139356,Camilomorales,Psicoanalista y académico UChile. Trabajo e investigo sobre niñez y políticas públicas.,2009-07-22 14:28:26+00:00,4038,Chile,False,None
1450515840479240196,2021-10-19 17:35:00+00:00,"Para informar y dialogar sobre el proceso constituyente que se lleva a cabo en el país, organizaciones comunitarias de #SanJavier organizaron un encuentro en la plaza Sol y Cordillera 👉 https://t.co/mKBt7pQsTZ https://t.co/oA5bn6enMm",0,0,0,0,es,,['SanJavier'],,1881527906,canal30oficial,"Estamos en Talca, Maule, San Javier, Villa Alegre y Linares. Disponible sólo a través de TV Cable Loncomilla y Multicom Maule.",2013-09-19 01:45:50+00:00,2134,,False,None
1450515479072755714,2021-10-19 17:33:34+00:00,"Chile vivió este lunes el segundo aniversario el estallido social del 18 de octubre de 2019, cuando una oleada de protestas callejeras desembocó en la convocatoria de un proceso constituyente en el que el país sudamericano aún se halla inmerso. https://t.co/ZVQAQ41SCt",1,0,0,0,es,,,,1380764066,CapitalMX_,En línea para ejercer el periodismo con rigor y contribuir a la consolidación de la democracia de la #CDMX,2013-04-26 01:02:13+00:00,32722,Ciudad de México,False,1450515473771212805
1450511902350594053,2021-10-19 17:19:21+00:00,"@sergiou01329861 @pianemesis Reconoce que el proceso constituyente que nadie pedía, solo era interés de políticos de izquierda, es producto de la VIOLENCIA O sea está viciado en su origen. Será una constitución ilegítima",0,0,2,0,es,,,"[User(username='sergiou01329861', id=1417480369419526151, displayname='Sergio Ulloa 🇨🇱🇺🇦', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='pianemesis', id=1289313218, displayname='pianemesis', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",4459488569,JulioEnriqueM13,padre abuelo ex deportista empresario enamorado de la vida me fascina Concon voto RECHAZO,2015-12-12 13:00:33+00:00,4749,Chile,False,1450478127705100292
1450511518437609474,2021-10-19 17:17:49+00:00,"@juanpabloswett Era de sentido común no votar apruebo! Era evidente que esto no iba a parar con esa votación, ahora tenemos un pseudo proceso constituyente y violencia ilimitada!",0,0,0,0,es,"Place(id='01e6f0de7086875b', fullName='Vitacura, Chile', name='Vitacura', type='city', country='Chile', countryCode='CL')",,"[User(username='juanpabloswett', id=30219958, displayname='Juan Pablo Swett', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",940383301344391169,LourdesSubiabre,,2017-12-12 00:50:25+00:00,40,,False,1450250286526832644
